app_id,title,hours,achievements_unlocked,achievements_total
1509960,PICO PARK,7.5,0,0
582010,Monster Hunter: World,7.4,6,100
200260,Batman: Arkham City GOTY,7.3,3,64
325180,AppGameKit Classic,7.0,0,0
1366540,戴森球计划,7.0,0,128
12120,Grand Theft Auto: San Andreas,7.0,0,0
817470,ToaZZle,7.0,0,5
699590,Trivia Vault: Science & History Trivia 2,7.0,5000,5000
851520,Trivia Vault: TV Trivia,7.0,0,5000
226840,Age of Wonders III,6.9,0,74
211050,Battle vs Chess,6.9,0,0
253860,Earth 2140 HD,6.9,0,0
253880,Earth 2150 Trilogy,6.9,0,0
1900,Earth 2160,6.9,0,0
1051310,Paper Dolls Original,6.9,23,28
552520,Far Cry 5,6.8,0,72
477160,人类一败涂地 / Human Fall Flat,6.8,14,143
805880,Trivia Vault Olympics Trivia,6.8,5000,5000
558870,Club Naughty,6.8,0,0
259300,Earth 2150: Lost Souls,6.8,0,0
259280,Earth 2150: The Moon Project,6.8,0,0
275390,Guacamelee! Super Turbo Championship Edition,6.8,0,30
3261010,中华一商：传承,6.6,11,21
780800,Ball laB,6.0,0,20
665180,Dark Elf,6.0,0,0
301640,Zombie Army Trilogy,5.8,1,68
386280,Vendetta - Curse of Raven's Cry,5.4,0,52
1048540,Kao the Kangaroo: Round 2,5.1,0,9
758190,龙崖,5.0,1,70
963690,Hentai Girl Hime,5.0,0,0
2427700,背包乱斗：福西法的宝藏 Backpack Battles,4.6,12,188
391220,Rise of the Tomb Raider,4.3,7,143
311690,挺进地牢,4.0,0,54
646910,The Crew 2,3.9,2,34
1054430,Fling to the Finish 终极拉扯,3.7,1,22
1102190,Monster Train,3.6,9,53
644570,Material Girl,3.5,0,0
1016920,Unrailed!,3.4,5,53
105600,Terraria,3.1,13,115
666140,波西亚时光,3.0,6,91
594650,猎杀：对决 1896,2.7,1,36
829590,末日觉醒 CryoFall,2.5,3,52
387290,Ori and the Blind Forest: Definitive Edition,2.0,0,57
595280,謊言王座 Throne of Lies,1.0,0,0
319540,A Year Of Rain,1.0,0,28
225540,Just Cause 3,1.0,0,66
391540,Undertale,1.0,0,0
433850,Z1 Battle Royale,1.0,0,0
2933080,《法外枭雄：滚石城》Crime Boss: Rockay City,0.0,0,45
306130,《上古卷轴®OL》,0.0,0,0
1222680,《Need for Speed™ Heat,0.0,0,42
972660,《Spiritfarer®》Farewell版,0.0,0,39
335190,200% Mixed Juice!,0.0,0,23
250420,8BitMMO,0.0,0,24
1222210,超逼真的攻城模拟器,0.0,0,0
2460980,潮—1927—,0.0,0,0
977210,尘沙的选择 THE CHOICE OF SAND,0.0,0,0
1125480,初恋日记,0.0,0,25
609920,大佬竞速 / Hotshot Racing,0.0,0,53
2337860,呆呆大乱斗,0.0,0,15
1608450,地狱仆从,0.0,0,43
1124090,告死天使之言 Death angel,0.0,0,0
3279120,崛起力量: 添命人,0.0,0,0
870780,控制 - 终极合辑 / Control Ultimate Edition,0.0,0,67
770720,猎杀：对决 1896（测试服),0.0,0,8
2084940,灵异校园,0.0,0,0
2881650,前方高能,0.0,0,0
2543510,枪途末路,0.0,0,44
939620,趣拼拼：肖像画 Pleasure Puzzle:Portrait,0.0,0,0
34330,全面战争：幕府将军2,0.0,0,106
485510,仁王 Complete Edition,0.0,0,79
244210,神力科莎 Assetto Corsa,0.0,0,709
409720,生化奇兵2 重制版,0.0,0,53
1030830,四海兄弟II 最终版,0.0,0,0
444200,坦克世界闪电战,0.0,0,0
346010,围攻,0.0,0,50
